Problème;n;k;Graine;Algorithme;Solution;Temps (ms);Nodes Explored;Max Depth;Solution Cost
dum;100;3;1234;bfs;"Goto 73 Goto 9 Goto 98 Goto 71 Goto 14 Goto 99";0,024000;299;7;3597,25
dum;100;3;1234;dfs;"Goto 81 Goto 95 Goto 64 Goto 77 Goto 83 Goto 88 Goto 93 Goto 79 Goto 78 Goto 72 Goto 52 Goto 97 Goto 20 Goto 11 Goto 68 Goto 43 Goto 96 Goto 4 Goto 59 Goto 61 Goto 91 Goto 23 Goto 67 Goto 17 Goto 75 Goto 98 Goto 71 Goto 14 Goto 99";0,007000;158;33;15017,18
dum;100;3;1234;ucs;"Goto 73 Goto 50 Goto 51 Goto 32 Goto 71 Goto 14 Goto 99";0,013000;296;8;2905,89
dum;100;3;1234;gfs;"Goto 81 Goto 95 Goto 64 Goto 28 Goto 38 Goto 14 Goto 99";0,004000;104;12;3483,82
dum;100;3;1234;astar;"Goto 73 Goto 50 Goto 51 Goto 32 Goto 71 Goto 14 Goto 99";0,008000;260;7;2905,89
dum;100;5;1234;bfs;"Goto 15 Goto 23 Goto 14 Goto 99";0,008000;787;4;2322,82
dum;100;5;1234;dfs;"Goto 81 Goto 95 Goto 79 Goto 84 Goto 98 Goto 71 Goto 14 Goto 99";0,009000;539;21;4197,76
dum;100;5;1234;ucs;"Goto 17 Goto 51 Goto 42 Goto 14 Goto 99";0,018000;795;7;1688,02
dum;100;5;1234;gfs;"Goto 27 Goto 57 Goto 92 Goto 35 Goto 23 Goto 14 Goto 99";0,004000;403;12;2806,14
dum;100;5;1234;astar;"Goto 17 Goto 51 Goto 42 Goto 14 Goto 99";0,015000;531;7;1688,02
dum;100;7;1234;bfs;"Goto 62 Goto 14 Goto 99";0,016000;1489;4;1794,72
dum;100;7;1234;dfs;"Goto 81 Goto 95 Goto 92 Goto 66 Goto 87 Goto 98 Goto 84 Goto 97 Goto 77 Goto 88 Goto 93 Goto 67 Goto 72 Goto 14 Goto 99";0,005000;424;17;8626,62
dum;100;7;1234;ucs;"Goto 73 Goto 2 Goto 14 Goto 99";0,038000;1489;6;1417,23
dum;100;7;1234;gfs;"Goto 27 Goto 28 Goto 38 Goto 14 Goto 99";0,004000;754;8;2125,01
dum;100;7;1234;astar;"Goto 73 Goto 2 Goto 14 Goto 99";0,021000;799;6;1417,23
dum;1000;3;1234;bfs;"Goto 104 Goto 941 Goto 900 Goto 756 Goto 999";0,061000;554;6;2466,57
dum;1000;3;1234;dfs;"Goto 963 Goto 356 Goto 972 Goto 29 Goto 658 Goto 716 Goto 566 Goto 951 Goto 809 Goto 812 Goto 516 Goto 683 Goto 908 Goto 670 Goto 81 Goto 971 Goto 914 Goto 871 Goto 79 Goto 815 Goto 668 Goto 649 Goto 70 Goto 775 Goto 850 Goto 896 Goto 878 Goto 823 Goto 662 Goto 714 Goto 633 Goto 736 Goto 302 Goto 785 Goto 980 Goto 926 Goto 987 Goto 687 Goto 851 Goto 798 Goto 931 Goto 852 Goto 631 Goto 839 Goto 665 Goto 198 Goto 939 Goto 485 Goto 97 Goto 9 Goto 985 Goto 718 Goto 627 Goto 826 Goto 974 Goto 819 Goto 955 Goto 578 Goto 743 Goto 777 Goto 968 Goto 596 Goto 427 Goto 788 Goto 843 Goto 88 Goto 757 Goto 414 Goto 780 Goto 793 Goto 903 Goto 884 Goto 666 Goto 288 Goto 818 Goto 868 Goto 898 Goto 210 Goto 925 Goto 797 Goto 673 Goto 828 Goto 523 Goto 806 Goto 838 Goto 835 Goto 550 Goto 48 Goto 990 Goto 547 Goto 977 Goto 551 Goto 603 Goto 807 Goto 976 Goto 712 Goto 64 Goto 902 Goto 958 Goto 766 Goto 912 Goto 920 Goto 511 Goto 705 Goto 782 Goto 928 Goto 803 Goto 762 Goto 431 Goto 942 Goto 749 Goto 597 Goto 647 Goto 80 Goto 751 Goto 860 Goto 571 Goto 390 Goto 957 Goto 370 Goto 907 Goto 847 Goto 43 Goto 477 Goto 90 Goto 909 Goto 521 Goto 405 Goto 695 Goto 348 Goto 708 Goto 368 Goto 885 Goto 450 Goto 41 Goto 982 Goto 901 Goto 98 Goto 420 Goto 514 Goto 401 Goto 528 Goto 562 Goto 879 Goto 531 Goto 168 Goto 732 Goto 92 Goto 327 Goto 78 Goto 588 Goto 866 Goto 848 Goto 619 Goto 554 Goto 481 Goto 527 Goto 671 Goto 476 Goto 984 Goto 449 Goto 21 Goto 124 Goto 607 Goto 37 Goto 278 Goto 207 Goto 952 Goto 702 Goto 827 Goto 787 Goto 54 Goto 923 Goto 759 Goto 651 Goto 829 Goto 944 Goto 490 Goto 917 Goto 448 Goto 634 Goto 910 Goto 317 Goto 856 Goto 949 Goto 995 Goto 500 Goto 432 Goto 938 Goto 231 Goto 996 Goto 693 Goto 699 Goto 604 Goto 618 Goto 814 Goto 82 Goto 978 Goto 862 Goto 95 Goto 816 Goto 854 Goto 85 Goto 351 Goto 61 Goto 937 Goto 16 Goto 326 Goto 802 Goto 68 Goto 339 Goto 740 Goto 526 Goto 915 Goto 988 Goto 771 Goto 752 Goto 556 Goto 309 Goto 790 Goto 880 Goto 707 Goto 993 Goto 277 Goto 874 Goto 986 Goto 563 Goto 235 Goto 756 Goto 999";0,125000;1745;297;121600,08
dum;1000;3;1234;ucs;"Goto 104 Goto 941 Goto 900 Goto 756 Goto 999";0,084000;1148;10;2466,57
dum;1000;3;1234;gfs;"Goto 104 Goto 941 Goto 655 Goto 340 Goto 133 Goto 931 Goto 637 Goto 63 Goto 177 Goto 970 Goto 38 Goto 728 Goto 946 Goto 333 Goto 288 Goto 344 Goto 973 Goto 269 Goto 392 Goto 895 Goto 235 Goto 756 Goto 999";0,015000;227;35;7050,26
dum;1000;3;1234;astar;"Goto 104 Goto 941 Goto 900 Goto 756 Goto 999";0,034000;485;9;2466,57
dum;1000;5;1234;bfs;"Goto 104 Goto 941 Goto 900 Goto 756 Goto 999";0,731000;7987;6;2466,57
dum;1000;5;1234;dfs;"Goto 963 Goto 964 Goto 900 Goto 756 Goto 999";0,653000;7803;174;2002,11
dum;1000;5;1234;ucs;"Goto 288 Goto 110 Goto 568 Goto 756 Goto 999";0,407000;4907;11;1442,77
dum;1000;5;1234;gfs;"Goto 288 Goto 344 Goto 945 Goto 59 Goto 685 Goto 90 Goto 400 Goto 594 Goto 538 Goto 991 Goto 563 Goto 235 Goto 756 Goto 999";0,100000;1339;19;3647,89
dum;1000;5;1234;astar;"Goto 288 Goto 110 Goto 568 Goto 756 Goto 999";0,127000;1051;8;1442,77
dum;1000;7;1234;bfs;"Goto 104 Goto 118 Goto 900 Goto 756 Goto 999";1,580000;14989;5;2232,33
dum;1000;7;1234;dfs;"Goto 963 Goto 965 Goto 981 Goto 994 Goto 966 Goto 869 Goto 992 Goto 829 Goto 944 Goto 998 Goto 198 Goto 983 Goto 897 Goto 996 Goto 78 Goto 763 Goto 928 Goto 803 Goto 985 Goto 785 Goto 980 Goto 926 Goto 987 Goto 80 Goto 931 Goto 970 Goto 96 Goto 974 Goto 819 Goto 955 Goto 951 Goto 891 Goto 959 Goto 945 Goto 986 Goto 914 Goto 915 Goto 988 Goto 901 Goto 989 Goto 726 Goto 635 Goto 97 Goto 787 Goto 961 Goto 930 Goto 934 Goto 896 Goto 878 Goto 923 Goto 887 Goto 855 Goto 796 Goto 562 Goto 879 Goto 977 Goto 995 Goto 67 Goto 968 Goto 572 Goto 875 Goto 903 Goto 884 Goto 984 Goto 910 Goto 845 Goto 911 Goto 688 Goto 900 Goto 756 Goto 999";0,536000;6319;133;37728,34
dum;1000;7;1234;ucs;"Goto 288 Goto 110 Goto 568 Goto 756 Goto 999";1,150000;14974;10;1442,77
dum;1000;7;1234;gfs;"Goto 288 Goto 133 Goto 591 Goto 800 Goto 463 Goto 959 Goto 577 Goto 708 Goto 43 Goto 912 Goto 920 Goto 511 Goto 468 Goto 739 Goto 756 Goto 999";0,198000;2584;18;3044,10
dum;1000;7;1234;astar;"Goto 288 Goto 110 Goto 568 Goto 756 Goto 999";0,573000;7339;10;1442,77
dum;5000;3;1234;bfs;"Goto 3448 Goto 3040 Goto 2202 Goto 319 Goto 4005 Goto 1105 Goto 2479 Goto 1655 Goto 4999";11,426000;14867;10;5417,10
dum;5000;3;1234;dfs;"Goto 3448 Goto 4415 Goto 3780 Goto 4501 Goto 2871 Goto 613 Goto 6 Goto 2457 Goto 705 Goto 475 Goto 3034 Goto 957 Goto 290 Goto 2027 Goto 4962 Goto 3574 Goto 4838 Goto 2936 Goto 1277 Goto 2691 Goto 4979 Goto 376 Goto 4349 Goto 4538 Goto 4612 Goto 692 Goto 733 Goto 753 Goto 2728 Goto 2041 Goto 2726 Goto 524 Goto 972 Goto 4495 Goto 69 Goto 4406 Goto 4849 Goto 484 Goto 561 Goto 834 Goto 3300 Goto 3377 Goto 978 Goto 450 Goto 2973 Goto 4558 Goto 56 Goto 4447 Goto 3674 Goto 4816 Goto 2739 Goto 682 Goto 1778 Goto 4196 Goto 3401 Goto 2974 Goto 2868 Goto 4531 Goto 860 Goto 4663 Goto 4238 Goto 3879 Goto 434 Goto 566 Goto 9 Goto 4724 Goto 945 Goto 4469 Goto 4275 Goto 672 Goto 764 Goto 4973 Goto 3834 Goto 4850 Goto 3282 Goto 2643 Goto 3906 Goto 345 Goto 3694 Goto 4726 Goto 886 Goto 4725 Goto 4288 Goto 2937 Goto 3864 Goto 4509 Goto 4587 Goto 4730 Goto 3291 Goto 3696 Goto 556 Goto 4951 Goto 4332 Goto 3454 Goto 523 Goto 300 Goto 708 Goto 5 Goto 4985 Goto 3943 Goto 4675 Goto 552 Goto 881 Goto 4329 Goto 4668 Goto 471 Goto 4742 Goto 4057 Goto 3667 Goto 4687 Goto 3608 Goto 3243 Goto 4397 Goto 68 Goto 4567 Goto 3181 Goto 2892 Goto 1948 Goto 4320 Goto 633 Goto 435 Goto 4009 Goto 4664 Goto 4682 Goto 2067 Goto 686 Goto 809 Goto 4576 Goto 4296 Goto 3456 Goto 721 Goto 3613 Goto 324 Goto 3899 Goto 598 Goto 4984 Goto 233 Goto 3547 Goto 4702 Goto 913 Goto 4888 Goto 4774 Goto 4880 Goto 4887 Goto 876 Goto 4615 Goto 4233 Goto 4492 Goto 3745 Goto 4578 Goto 3799 Goto 808 Goto 2935 Goto 4052 Goto 4667 Goto 3678 Goto 3830 Goto 712 Goto 4688 Goto 4338 Goto 949 Goto 4453 Goto 694 Goto 625 Goto 4364 Goto 3183 Goto 1530 Goto 4662 Goto 885 Goto 546 Goto 2733 Goto 355 Goto 3986 Goto 4958 Goto 992 Goto 2129 Goto 3500 Goto 74 Goto 3301 Goto 3961 Goto 3510 Goto 836 Goto 696 Goto 3964 Goto 3129 Goto 926 Goto 3744 Goto 4634 Goto 45 Goto 1037 Goto 4787 Goto 2401 Goto 520 Goto 3601 Goto 3617 Goto 572 Goto 4911 Goto 584 Goto 950 Goto 2855 Goto 498 Goto 4362 Goto 3248 Goto 391 Goto 541 Goto 3007 Goto 3889 Goto 64 Goto 87 Goto 2124 Goto 779 Goto 699 Goto 533 Goto 93 Goto 4268 Goto 4213 Goto 593 Goto 4986 Goto 2341 Goto 3597 Goto 395 Goto 4866 Goto 941 Goto 4699 Goto 855 Goto 3616 Goto 2087 Goto 603 Goto 3407 Goto 644 Goto 3872 Goto 3957 Goto 1876 Goto 78 Goto 4562 Goto 4839 Goto 754 Goto 517 Goto 2025 Goto 4519 Goto 998 Goto 4947 Goto 3420 Goto 4361 Goto 750 Goto 621 Goto 2995 Goto 4223 Goto 4375 Goto 481 Goto 2896 Goto 95 Goto 425 Goto 4366 Goto 3698 Goto 4013 Goto 2757 Goto 3498 Goto 2987 Goto 404 Goto 3101 Goto 966 Goto 929 Goto 3050 Goto 4832 Goto 3545 Goto 3683 Goto 4179 Goto 4472 Goto 2297 Goto 666 Goto 381 Goto 4323 Goto 4110 Goto 1413 Goto 4454 Goto 1885 Goto 555 Goto 974 Goto 2123 Goto 59 Goto 914 Goto 4982 Goto 3836 Goto 4103 Goto 4421 Goto 417 Goto 3932 Goto 4479 Goto 4228 Goto 312 Goto 4506 Goto 3844 Goto 372 Goto 4657 Goto 780 Goto 486 Goto 3891 Goto 624 Goto 4889 Goto 429 Goto 2377 Goto 3911 Goto 456 Goto 3505 Goto 4748 Goto 4727 Goto 771 Goto 501 Goto 645 Goto 4078 Goto 383 Goto 3655 Goto 727 Goto 4242 Goto 4555 Goto 3622 Goto 1786 Goto 4455 Goto 4919 Goto 968 Goto 601 Goto 4533 Goto 4355 Goto 306 Goto 500 Goto 987 Goto 676 Goto 3983 Goto 339 Goto 825 Goto 804 Goto 3811 Goto 4485 Goto 720 Goto 2255 Goto 98 Goto 839 Goto 3851 Goto 442 Goto 2323 Goto 4407 Goto 4897 Goto 3818 Goto 535 Goto 2192 Goto 816 Goto 4234 Goto 4252 Goto 2677 Goto 4614 Goto 2007 Goto 3321 Goto 4132 Goto 4686 Goto 709 Goto 334 Goto 53 Goto 4879 Goto 4123 Goto 150 Goto 1955 Goto 4869 Goto 2453 Goto 4779 Goto 4764 Goto 2891 Goto 4505 Goto 4157 Goto 357 Goto 2655 Goto 792 Goto 602 Goto 2708 Goto 4188 Goto 4928 Goto 466 Goto 742 Goto 4591 Goto 441 Goto 607 Goto 89 Goto 4250 Goto 4515 Goto 616 Goto 3827 Goto 4831 Goto 626 Goto 915 Goto 3199 Goto 910 Goto 4783 Goto 4486 Goto 670 Goto 470 Goto 4636 Goto 4863 Goto 4045 Goto 557 Goto 2993 Goto 4728 Goto 3311 Goto 3873 Goto 1887 Goto 4780 Goto 4656 Goto 4818 Goto 648 Goto 757 Goto 390 Goto 3981 Goto 4526 Goto 701 Goto 1751 Goto 3637 Goto 3065 Goto 3720 Goto 3342 Goto 3662 Goto 4633 Goto 3963 Goto 419 Goto 4721 Goto 4162 Goto 4757 Goto 4648 Goto 3636 Goto 244 Goto 958 Goto 3402 Goto 3125 Goto 3801 Goto 4073 Goto 4368 Goto 3024 Goto 4759 Goto 2861 Goto 2048 Goto 630 Goto 707 Goto 2774 Goto 4187 Goto 1727 Goto 3570 Goto 3876 Goto 628 Goto 4998 Goto 4745 Goto 3257 Goto 3164 Goto 3955 Goto 710 Goto 612 Goto 3846 Goto 2519 Goto 2286 Goto 4875 Goto 4116 Goto 3897 Goto 3724 Goto 4158 Goto 951 Goto 4619 Goto 2504 Goto 730 Goto 3127 Goto 267 Goto 4594 Goto 4981 Goto 447 Goto 529 Goto 4544 Goto 474 Goto 976 Goto 4295 Goto 3494 Goto 1917 Goto 518 Goto 684 Goto 3658 Goto 3482 Goto 1164 Goto 238 Goto 629 Goto 4326 Goto 4704 Goto 4609 Goto 135 Goto 848 Goto 175 Goto 90 Goto 3333 Goto 1713 Goto 4473 Goto 585 Goto 784 Goto 1875 Goto 4628 Goto 4597 Goto 4589 Goto 3017 Goto 3972 Goto 97 Goto 4823 Goto 4583 Goto 3829 Goto 80 Goto 3941 Goto 4855 Goto 4001 Goto 2945 Goto 2883 Goto 4650 Goto 4022 Goto 2705 Goto 4937 Goto 590 Goto 755 Goto 588 Goto 4033 Goto 4645 Goto 66 Goto 3134 Goto 4858 Goto 996 Goto 821 Goto 622 Goto 2461 Goto 4536 Goto 560 Goto 4100 Goto 4762 Goto 773 Goto 4934 Goto 637 Goto 271 Goto 4384 Goto 4577 Goto 389 Goto 4521 Goto 4905 Goto 4449 Goto 685 Goto 3046 Goto 4232 Goto 4659 Goto 842 Goto 578 Goto 1328 Goto 4143 Goto 4517 Goto 783 Goto 2433 Goto 65 Goto 4535 Goto 4138 Goto 772 Goto 646 Goto 571 Goto 990 Goto 581 Goto 4810 Goto 4956 Goto 2572 Goto 4605 Goto 41 Goto 4945 Goto 3573 Goto 805 Goto 4685 Goto 3449 Goto 812 Goto 1406 Goto 833 Goto 92 Goto 2913 Goto 3411 Goto 4803 Goto 3794 Goto 652 Goto 965 Goto 1779 Goto 1820 Goto 4029 Goto 597 Goto 3526 Goto 4034 Goto 3422 Goto 1029 Goto 3967 Goto 3909 Goto 4284 Goto 3885 Goto 1912 Goto 509 Goto 4513 Goto 4231 Goto 775 Goto 4038 Goto 4631 Goto 726 Goto 4434 Goto 776 Goto 1083 Goto 1339 Goto 4551 Goto 540 Goto 1238 Goto 2915 Goto 2747 Goto 4408 Goto 4654 Goto 2524 Goto 4028 Goto 4859 Goto 3572 Goto 3170 Goto 4799 Goto 979 Goto 962 Goto 4870 Goto 2382 Goto 4723 Goto 997 Goto 2863 Goto 4534 Goto 2173 Goto 1176 Goto 3253 Goto 275 Goto 569 Goto 1976 Goto 2406 Goto 3303 Goto 2958 Goto 4584 Goto 3660 Goto 2760 Goto 4463 Goto 4278 Goto 2925 Goto 270 Goto 3366 Goto 934 Goto 943 Goto 2130 Goto 4860 Goto 3588 Goto 3756 Goto 4988 Goto 4015 Goto 1458 Goto 7 Goto 4105 Goto 3612 Goto 3140 Goto 650 Goto 4412 Goto 4300 Goto 638 Goto 4563 Goto 2895 Goto 549 Goto 91 Goto 4301 Goto 34 Goto 4652 Goto 3275 Goto 472 Goto 582 Goto 4865 Goto 3822 Goto 2796 Goto 2637 Goto 67 Goto 785 Goto 4827 Goto 4695 Goto 3283 Goto 4890 Goto 1287 Goto 1772 Goto 2117 Goto 911 Goto 288 Goto 4756 Goto 99 Goto 4807 Goto 402 Goto 2556 Goto 4114 Goto 954 Goto 4508 Goto 2246 Goto 75 Goto 2905 Goto 3657 Goto 2948 Goto 841 Goto 873 Goto 62 Goto 4218 Goto 1829 Goto 4772 Goto 4186 Goto 820 Goto 4062 Goto 4484 Goto 975 Goto 4746 Goto 4270 Goto 982 Goto 273 Goto 4008 Goto 2877 Goto 503 Goto 942 Goto 4993 Goto 4239 Goto 4177 Goto 887 Goto 436 Goto 4964 Goto 3464 Goto 4693 Goto 994 Goto 4365 Goto 4265 Goto 4846 Goto 4837 Goto 52 Goto 3703 Goto 491 Goto 617 Goto 3735 Goto 3329 Goto 938 Goto 1544 Goto 519 Goto 3926 Goto 3447 Goto 3939 Goto 3314 Goto 4054 Goto 3132 Goto 4074 Goto 4346 Goto 4892 Goto 3432 Goto 4144 Goto 1655 Goto 4999";2,222000;2435;752;402584,85
dum;5000;3;1234;ucs;"Goto 31 Goto 4040 Goto 334 Goto 53 Goto 2812 Goto 673 Goto 1105 Goto 2479 Goto 1655 Goto 4999";15,590000;14993;17;4453,27
dum;5000;3;1234;gfs;"Goto 162 Goto 1069 Goto 3480 Goto 4457 Goto 698 Goto 3292 Goto 992 Goto 2129 Goto 2516 Goto 2986 Goto 4767 Goto 4140 Goto 2935 Goto 1632 Goto 3079 Goto 2499 Goto 92 Goto 2913 Goto 1542 Goto 3262 Goto 1554 Goto 681 Goto 2757 Goto 1512 Goto 2848 Goto 1482 Goto 4467 Goto 3871 Goto 924 Goto 2394 Goto 4023 Goto 4867 Goto 2711 Goto 2380 Goto 557 Goto 2993 Goto 1826 Goto 1963 Goto 3559 Goto 4908 Goto 37 Goto 1308 Goto 2243 Goto 1570 Goto 2230 Goto 3709 Goto 4235 Goto 2612 Goto 1832 Goto 1989 Goto 1984 Goto 4778 Goto 3305 Goto 2780 Goto 3324 Goto 482 Goto 4969 Goto 2649 Goto 1908 Goto 4770 Goto 2634 Goto 3023 Goto 2190 Goto 972 Goto 4495 Goto 3765 Goto 1348 Goto 1311 Goto 4912 Goto 2662 Goto 1178 Goto 197 Goto 2707 Goto 4456 Goto 864 Goto 2992 Goto 1733 Goto 785 Goto 191 Goto 2053 Goto 2759 Goto 2187 Goto 1479 Goto 4624 Goto 2807 Goto 1297 Goto 2667 Goto 3454 Goto 138 Goto 4898 Goto 1627 Goto 3097 Goto 2391 Goto 116 Goto 3939 Goto 3679 Goto 927 Goto 1280 Goto 3759 Goto 3006 Goto 2258 Goto 100 Goto 4144 Goto 1655 Goto 4999";5,543000;6953;111;31901,60
dum;5000;3;1234;astar;"Goto 31 Goto 4040 Goto 334 Goto 53 Goto 2812 Goto 673 Goto 1105 Goto 2479 Goto 1655 Goto 4999";10,247000;14234;17;4453,27
dum;5000;5;1234;bfs;"Goto 4745 Goto 2276 Goto 3486 Goto 1655 Goto 4999";19,120000;38971;6;2258,17
dum;5000;5;1234;dfs;"Goto 4745 Goto 4454 Goto 4075 Goto 4977 Goto 54 Goto 4301 Goto 4794 Goto 842 Goto 691 Goto 975 Goto 992 Goto 3943 Goto 579 Goto 929 Goto 4887 Goto 876 Goto 4615 Goto 750 Goto 935 Goto 323 Goto 924 Goto 4769 Goto 880 Goto 979 Goto 962 Goto 813 Goto 1655 Goto 4999";19,760000;38579;883;15366,93
dum;5000;5;1234;ucs;"Goto 4350 Goto 3673 Goto 3733 Goto 4523 Goto 2146 Goto 4485 Goto 1655 Goto 4999";18,916000;39779;13;2055,15
dum;5000;5;1234;gfs;"Goto 162 Goto 3732 Goto 3428 Goto 1050 Goto 1959 Goto 1925 Goto 2335 Goto 4100 Goto 654 Goto 3778 Goto 252 Goto 142 Goto 3920 Goto 4424 Goto 2650 Goto 550 Goto 2472 Goto 1197 Goto 4534 Goto 1076 Goto 2487 Goto 3749 Goto 3247 Goto 1147 Goto 30 Goto 3182 Goto 1032 Goto 1596 Goto 2046 Goto 4803 Goto 2244 Goto 1152 Goto 2975 Goto 992 Goto 2129 Goto 3486 Goto 1655 Goto 4999";7,591000;20003;51;9537,81
