Jeu;Profondeur;Taille;Joueur 1;Joueur 2;Vainqueur;Temps (ms);Coups;Etats J1;Etats J2
tictactoe;3;-1;minmax;minmax;Draw;0,035000;5;936;578
tictactoe;3;-1;minmax;alphabeta;Joueur2;0,009000;4;934;189
tictactoe;3;-1;minmax;random;Joueur1;0,007000;4;927;0
tictactoe;3;-1;alphabeta;minmax;Joueur1;0,008000;5;378;604
tictactoe;3;-1;alphabeta;alphabeta;Joueur1;0,005000;4;259;205
tictactoe;3;-1;alphabeta;random;Joueur1;0,003000;5;317;0
tictactoe;3;-1;random;minmax;Joueur2;0,004000;4;0;574
tictactoe;3;-1;random;alphabeta;Joueur1;0,003000;4;0;211
tictactoe;3;-1;random;random;Joueur1;0,001000;4;0;0
tictactoe;4;-1;minmax;minmax;Joueur1;0,026000;3;4680;2494
tictactoe;4;-1;minmax;alphabeta;Joueur2;0,016000;3;4732;597
tictactoe;4;-1;minmax;random;Joueur1;0,016000;3;4680;0
tictactoe;4;-1;alphabeta;minmax;Draw;0,012000;5;953;2550
tictactoe;4;-1;alphabeta;alphabeta;Joueur1;0,004000;4;1072;598
tictactoe;4;-1;alphabeta;random;Joueur1;0,004000;4;1099;0
tictactoe;4;-1;random;minmax;Joueur2;0,006000;3;0;2512
tictactoe;4;-1;random;alphabeta;Joueur1;0,001000;3;0;420
tictactoe;4;-1;random;random;Joueur2;0,000000;4;0;0
tictactoe;5;-1;minmax;minmax;Joueur1;0,061000;3;21920;8614
tictactoe;5;-1;minmax;alphabeta;Joueur1;0,051000;3;21907;1108
tictactoe;5;-1;minmax;random;Joueur1;0,049000;4;22003;0
tictactoe;5;-1;alphabeta;minmax;Joueur2;0,025000;4;1991;9337
tictactoe;5;-1;alphabeta;alphabeta;Joueur1;0,007000;5;1149;1104
tictactoe;5;-1;alphabeta;random;Joueur1;0,007000;5;2603;0
tictactoe;5;-1;random;minmax;Joueur2;0,023000;3;0;8834
tictactoe;5;-1;random;alphabeta;Joueur1;0,004000;4;0;1397
tictactoe;5;-1;random;random;Joueur2;0,000000;4;0;0
mnk;3;5;minmax;minmax;Joueur1;0,687000;9;49714;41704
mnk;3;5;minmax;alphabeta;Joueur1;0,342000;4;39856;25336
mnk;3;5;minmax;random;Joueur1;0,216000;5;43828;0
mnk;3;5;alphabeta;minmax;Joueur1;0,259000;8;26401;41171
mnk;3;5;alphabeta;alphabeta;Joueur2;0,164000;7;32061;26312
mnk;3;5;alphabeta;random;Joueur1;0,140000;7;41827;0
mnk;3;5;random;minmax;Joueur2;0,135000;5;0;38104
mnk;3;5;random;alphabeta;Joueur2;0,086000;11;0;26898
mnk;3;5;random;random;Draw;0,001000;13;0;0
mnk;3;6;minmax;minmax;Draw;1,700000;18;216855;193869
mnk;3;6;minmax;alphabeta;Joueur2;1,900000;14;214564;170235
mnk;3;6;minmax;random;Joueur1;0,881000;14;216010;0
mnk;3;6;alphabeta;minmax;Joueur2;1,497000;15;190554;193310
mnk;3;6;alphabeta;alphabeta;Joueur2;1,316000;14;193926;147604
mnk;3;6;alphabeta;random;Joueur1;0,844000;18;215542;0
mnk;3;6;random;minmax;Joueur2;0,716000;9;0;181696
mnk;3;6;random;alphabeta;Draw;0,806000;18;0;194264
mnk;3;6;random;random;Joueur2;0,001000;14;0;0
mnk;4;5;minmax;minmax;Draw;4,515000;13;907650;722971
mnk;4;5;minmax;alphabeta;Joueur1;3,792000;12;907770;474511
mnk;4;5;minmax;random;Joueur1;2,143000;4;782164;0
mnk;4;5;alphabeta;minmax;Joueur2;3,999000;5;733289;693782
mnk;4;5;alphabeta;alphabeta;Joueur2;3,179000;11;619372;471122
mnk;4;5;alphabeta;random;Joueur1;2,799000;11;891410;0
mnk;4;5;random;minmax;Joueur2;2,215000;7;0;718395
mnk;4;5;random;alphabeta;Joueur2;1,594000;9;0;491043
mnk;4;5;random;random;Joueur2;0,000000;4;0;0
mnk;4;6;minmax;minmax;Draw;48,131000;18;5751800;4939705
mnk;4;6;minmax;alphabeta;Joueur1;51,752000;14;5805832;4880547
mnk;4;6;minmax;random;Joueur1;28,572000;17;5770323;0
mnk;4;6;alphabeta;minmax;Joueur2;53,999000;13;5581184;5028251
mnk;4;6;alphabeta;alphabeta;Joueur1;42,327000;9;4837881;3808291
mnk;4;6;alphabeta;random;Joueur1;23,092000;11;4360498;0
mnk;4;6;random;minmax;Joueur2;31,550000;15;0;5039834
mnk;4;6;random;alphabeta;Draw;23,944000;18;0;4551597
mnk;4;6;random;random;Joueur1;0,000000;17;0;0
mnk;5;5;minmax;minmax;Draw;108,358000;13;16445206;12704606
mnk;5;5;minmax;alphabeta;Joueur1;81,570000;7;16277020;6089345
mnk;5;5;minmax;random;Joueur1;56,107000;4;14588054;0
mnk;5;5;alphabeta;minmax;Joueur2;78,436000;9;8367025;12707840
mnk;5;5;alphabeta;alphabeta;Joueur1;50,089000;8;7735534;6575747
mnk;5;5;alphabeta;random;Joueur1;27,658000;11;7245911;0
mnk;5;5;random;minmax;Draw;62,411000;13;0;12609508
mnk;5;5;random;alphabeta;Joueur2;56,285000;9;0;5672635
mnk;5;5;random;random;Joueur2;0,000000;8;0;0
mnk;5;6;minmax;minmax;Joueur1;1640,029000;12;157083214;131907880
mnk;5;6;minmax;alphabeta;Draw;1585,937000;18;157010326;92409707
mnk;5;6;minmax;random;Joueur1;1521,519000;8;152974783;0
mnk;5;6;alphabeta;minmax;Joueur2;1388,338000;10;120798243;131467474
mnk;5;6;alphabeta;alphabeta;Joueur1;832,160000;14;82965442;89883238
mnk;5;6;alphabeta;random;Draw;456,526000;18;110358731;0
mnk;5;6;random;minmax;Joueur2;515,187000;8;0;128725500
mnk;5;6;random;alphabeta;Joueur2;293,357000;10;0;73101357
mnk;5;6;random;random;Joueur1;0,001000;14;0;0
